for	برای	0.004564093622307692
that	که	0.0026154085407692307
this	این	0.0024834382853846154
with	با	0.002448546673076923
you	شما	0.0023047546346153846
are	هستند	0.0018412422076923077
from	از	0.0017504579661538461
your	شما	0.0015862050361538462
all	همه	0.0015557383446153847
new	تازه	0.0011932758792307693
more	بیشتر	0.0011882859023076924
was	بود	0.0011410989830769231
will	خواهد	0.0010433028007692307
home	خانه	9.821939769230769E-4
about	درباره	9.436415430769231E-4
page	صفحۀ	8.324013307692308E-4
has	دارد	8.048615261538461E-4
search	جستجو	7.877639369230769E-4
free	آزاد	7.800825507692308E-4
but	ولی	7.6915358E-4
our	ما	7.682753707692308E-4
one	یگانه	7.642589469230769E-4
other	دیگر	7.526779376923077E-4
information	معلومات	7.173802976923076E-4
time	تایم	6.990042846153846E-4
they	اونا	6.794029353846154E-4
site	سایت	6.49469416923077E-4
may	تا	6.367861784615385E-4
what	چی	6.249196784615385E-4
which	کدام	6.234723730769231E-4
news	اخبار	5.810961407692308E-4
out	بیرون	5.704629630769231E-4
any	هر	5.467240715384615E-4
there	آنجا	5.393616961538462E-4
see	دیدن	5.241618307692307E-4
only	تنها	5.091108569230769E-4
his	او	5.078290238461539E-4
when	وقتی	5.004778292307693E-4
contact	تماس	4.967878338461539E-4
here	اینجا	4.920855369230769E-4
business	کسب	4.901032130769231E-4
who	که	4.853286753846154E-4
web	تار	4.7659351923076926E-4
also	همچنین	4.744844169230769E-4
now	اکنون	4.702982584615385E-4
help	کمک	4.700415646153846E-4
get	شو	4.6614192923076926E-4
view	نمای	4.632917953846154E-4
online	برخط	4.6255158384615383E-4
first	اول	4.4473964846153847E-4
been	شده	4.4232260153846155E-4
how	چطور	4.398831384615385E-4
were	بودند	4.3899966E-4
services	خدمات	4.324667723076923E-4
some	برخی	4.221765030769231E-4
these	اینا	4.161569092307692E-4
click	کلیک	4.1288186461538464E-4
like	مثل	4.0045022076923075E-4
service	خدمت	3.996440169230769E-4
find	یافتن	3.861869523076923E-4
price	قیمتی	3.8588555846153844E-4
date	تاریخ	3.761287492307692E-4
back	باز	3.754031607692308E-4
top	اوج	3.7247213153846154E-4
people	مردم	3.6946413538461537E-4
list	فهرست	3.6353126230769233E-4
name	نام	3.573328476923077E-4
just	فقط	3.560278223076923E-4
state	حالت	3.4854164076923076E-4
year	سال	3.469942946153846E-4
day	روزی	3.4325857538461537E-4
two	دوتا	3.3953726076923075E-4
health	بهداشت	3.3878187E-4
world	جهانی	3.322571146153846E-4
next	بعدی	3.2761795923076924E-4
work	کاری	3.2267996E-4
last	اخرین	3.212320123076923E-4
most	بیشترین	3.201618546153846E-4
products	محصولاتی	3.187520246153846E-4
music	موسیقی	3.1848372076923075E-4
buy	بخرید	3.1598475076923075E-4
make	را	3.116035707692308E-4
them	آنان	3.1000031615384616E-4
product	محصول	3.070125807692308E-4
system	سامانه	3.0536539846153844E-4
post	پست	3.0227418153846156E-4
her	او	3.0150850846153847E-4
city	سیتی	3.0043448846153845E-4
add	افزودن	2.9787056846153847E-4
policy	سیاست	2.956937446153846E-4
number	شمارۀ	2.9522138846153846E-4
available	موجود	2.920341823076923E-4
support	پشتیبانی	2.873173607692308E-4
message	پیغام	2.869855707692308E-4
best	بهتر	2.860405753846154E-4
software	نرمافزار	2.8501310615384616E-4
then	پس	2.8456072384615386E-4
jan	یان	2.8187399538461537E-4
good	خوبی	2.813818430769231E-4
video	ویدئویی	2.810846284615385E-4
well	خب	2.7852519615384616E-4
where	کجای	2.772833376923077E-4
info	اطلاعات	2.7104850615384613E-4
rights	حقوق	2.708087246153846E-4
public	عمومی	2.686816330769231E-4
books	کتابهای	2.674693723076923E-4
high	رفیع	2.657024284615385E-4
school	مدرسه	2.638902430769231E-4
each	هرکدوم	2.6222527384615386E-4
links	پیوندهای	2.614819546153846E-4
she	او	2.609010630769231E-4
review	مرور	2.608213676923077E-4
years	سالها	2.5987793E-4
order	ترتیب	2.5894706692307693E-4
very	بسیار	2.5763336E-4
privacy	خلوت	2.563634053846154E-4
book	کتاب	2.545845761538462E-4
items	موارد	2.5423486538461536E-4
company	گروهان	2.4944019846153846E-4
read	خواندن	2.479475123076923E-4
group	گروپ	2.4757152615384616E-4
sex	جنسی	2.4623538384615384E-4
need	نیازمند	2.4567456307692307E-4
many	بسیار	2.4535880076923075E-4
user	کاربر	2.4342017615384615E-4
said	گفت	2.4276558384615383E-4
does	بکند	2.415529276923077E-4
set	تنظیم	2.411304546153846E-4
under	تحت	2.409972469230769E-4
general	ژنرال	2.3981368692307692E-4
research	تحقیقات	2.3964490923076922E-4
university	دانشگاه	2.395184123076923E-4
january	ژانویه	2.3872759E-4
mail	نامه	2.3872091153846154E-4
full	کاملش	2.3840706076923076E-4
map	نقشه	2.3821275461538463E-4
reviews	نقدهای	2.3668007923076923E-4
program	برنامۀ	2.3591306384615384E-4
life	زندگى	2.3581477307692308E-4
know	بدانند	2.3546216384615385E-4
games	بازیهای	2.3533145846153845E-4
way	راه	2.3501200307692307E-4
days	روزای	2.3472907E-4
management	مدیریت	2.3400095153846155E-4
part	قسمت	2.3286869461538461E-4
could	میتوانست	2.3254725461538462E-4
great	عالیه	2.319134076923077E-4
united	یونایتد	2.3021551E-4
hotel	هتل	2.2921137692307692E-4
real	حقیقی	2.2898037923076923E-4
item	فقره	2.2810379615384615E-4
international	بینالمللی	2.2741477E-4
center	سنتر	2.2639932153846153E-4
must	باید	2.2521132E-4
store	ذخیره	2.2408377692307693E-4
travel	مسافرت	2.2132253384615384E-4
comments	نظرات	2.2119880615384616E-4
development	توسعه	2.202241623076923E-4
report	گزارش	2.2018259384615384E-4
off	خاموش	2.1848899461538463E-4
member	عضو	2.1835299461538463E-4
details	جزئیات	2.1602141615384616E-4
line	خط	2.153919976923077E-4
terms	شرایط	2.1361993076923078E-4
before	پیش	2.134969376923077E-4
hotels	هتلهای	2.1193147461538462E-4
send	ارسال	2.1084891307692307E-4
type	نوع	2.0948989153846153E-4
because	چون	2.0871075846153847E-4
local	محلی	2.0826379615384615E-4
results	نتایج	2.0629295615384616E-4
office	دفتر	2.0522278615384614E-4
education	تحصیلات	2.0518312923076924E-4
national	ملی	2.049050923076923E-4
car	خودروی	2.0363105692307692E-4
design	طرح	2.0342179923076923E-4
take	بگیرد	2.0334600076923076E-4
posted	پست	2.0296251692307693E-4
internet	اینترنتی	2.0290557307692307E-4
address	نشانی	2.0144066615384616E-4
community	ملتی	2.0141470538461538E-4
area	مساحت	1.999011976923077E-4
phone	تلفن	1.9741831692307693E-4
shipping	کشتیرانی	1.9732409846153845E-4
reserved	رزرو	1.9726390307692307E-4
subject	فاعل	1.9709064461538462E-4
between	بین	1.964897676923077E-4
forum	فورم	1.9575244692307693E-4
family	خانواده	1.9551081153846154E-4
long	لانگ	1.942458369230769E-4
code	کد	1.924962469230769E-4
show	نمایش	1.904169123076923E-4
